request_id,sp_id,channel,platform,app_version,required_docs,required_count,status_code,status_ts,step_latency_ms,missing_count,error_code,error_source
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S00,2025-11-17 20:48:00,0,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S01,2025-11-17 20:48:06,3000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S02,2025-11-17 20:48:15,5000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S03,2025-11-17 20:48:11,5000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S08,2025-11-17 20:48:22,8000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S10,2025-11-17 20:48:22,1000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S20,2025-11-17 20:48:36,16000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S21,2025-11-17 20:48:31,8000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S30,2025-11-17 20:48:33,3000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S31,2025-11-17 20:48:30,7000,0,,
REQ000001,DubaiPolice,notification,android,3.2.2,vehicle_registration,1,S40,2025-11-17 20:48:36,5000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S00,2025-11-14 19:24:00,0,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S01,2025-11-14 19:24:07,3000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S02,2025-11-14 19:24:14,4000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S03,2025-11-14 19:24:12,4000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S08,2025-11-14 19:24:16,7000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S11,2025-11-14 19:24:16,2000,1,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S12,2025-11-14 19:24:37,15000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S13,2025-11-14 19:24:31,10000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S20,2025-11-14 19:24:39,17000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S21,2025-11-14 19:24:29,8000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S30,2025-11-14 19:24:40,2000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S31,2025-11-14 19:24:41,6000,0,,
REQ000002,EmiratesNBD,notification,android,3.2.2,passport,1,S40,2025-11-14 19:24:37,5000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S00,2025-11-10 06:28:00,0,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S06,2025-11-10 06:28:04,3000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S07,2025-11-10 06:28:12,5000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S08,2025-11-10 06:28:16,7000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S10,2025-11-10 06:28:13,2000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S20,2025-11-10 06:28:23,7000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S21,2025-11-10 06:28:21,6000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S30,2025-11-10 06:28:18,3000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S31,2025-11-10 06:28:20,3000,0,,
REQ000003,DubaiPolice,qr,ios,3.3.1,emirates_id,1,S40,2025-11-10 06:28:37,5000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S00,2025-11-10 08:38:00,0,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S06,2025-11-10 08:38:04,1000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S07,2025-11-10 08:38:08,4000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S08,2025-11-10 08:38:22,10000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S10,2025-11-10 08:38:18,3000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S20,2025-11-10 08:38:34,19000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S21,2025-11-10 08:38:26,6000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S30,2025-11-10 08:38:21,3000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S31,2025-11-10 08:38:35,10000,0,,
REQ000004,ADIB,qr,ios,3.3.1,emirates_id,1,S40,2025-11-10 08:38:28,5000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S00,2025-11-12 18:51:00,0,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S04,2025-11-12 18:51:07,2000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S05,2025-11-12 18:51:14,5000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S08,2025-11-12 18:51:17,10000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S10,2025-11-12 18:51:16,2000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S20,2025-11-12 18:51:33,21000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S21,2025-11-12 18:51:28,6000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S30,2025-11-12 18:51:18,1000,0,,
REQ000005,Etisalat,redirect,ios,3.2.1,vehicle_registration,1,S31,2025-11-12 18:51:29,4000,0,,
